edge_id,length
:-11754_7,6.95
:-11754_8,11.83
:-11754_10,5.02
:-11754_16,10.21
:-11754_11,5.38
:-11754_12,17.02
:-11754_13,7.47
:-11754_17,7.50
:-11786_0,8.44
:-11786_2,6.39
:-11786_4,15.20
:-11788_0,5.03
:-11788_1,9.52
:-11788_2,9.55
:-11788_3,5.26
:-11788_6,5.09
:-11788_4,5.09
:-11788_5,10.46
:-11792_0,9.75
:-11792_1,5.26
:-11792_6,5.22
:-11792_2,5.38
:-11792_3,10.86
:-11792_4,5.13
:-11792_5,9.59
:-11808_0,6.76
:-11808_1,9.72
:-11808_2,9.26
:-11808_3,5.16
:-11808_6,6.95
:-11808_4,5.43
:-11808_5,10.43
:-11814_0,5.09
:-11814_1,10.47
:-11814_2,10.86
:-11814_3,5.43
:-11814_4,10.02
:-11814_5,5.33
:-11814_12,5.85
:-11814_6,5.21
:-11814_7,9.84
:-11814_8,10.83
:-11814_9,6.19
:-11814_10,10.09
:-11814_11,5.31
:-11814_13,5.07
:-11818_0,10.84
:-11818_3,4.55
:-11818_4,21.70
:-11818_5,4.55
:-11818_7,21.70
:-11818_9,5.59
:-11818_10,7.10
:-11830_0,9.32
:-11830_1,5.05
:-11830_6,5.19
:-11830_2,5.13
:-11830_3,10.42
:-11830_4,5.02
:-11830_5,9.44
:-11842_0,5.96
:-11842_2,2.84
:-11842_6,8.35
:-11842_3,5.20
:-11842_4,6.14
:-11848_0,5.09
:-11848_1,9.68
:-11848_4,9.95
:-11848_7,3.92
:-11848_11,12.09
:-11848_8,5.29
:-11848_9,18.21
:-11872_0,11.74
:-11872_1,6.85
:-11872_6,8.93
:-11872_2,6.43
:-11872_3,12.55
:-11872_4,9.82
:-11872_5,11.74
:-11876_0,5.03
:-11876_1,9.54
:-11876_2,9.61
:-11876_3,5.32
:-11876_6,5.06
:-11876_4,5.08
:-11876_5,10.45
:-11886_0,6.23
:-11886_1,5.15
:-11920_0,9.55
:-11920_1,5.49
:-11920_6,5.49
:-11920_2,5.16
:-11920_3,10.40
:-11920_4,5.55
:-11920_5,9.55
:-11950_0,8.62
:-11950_2,5.75
:-11950_3,16.62
:-11950_4,5.75
:-11950_5,16.62
:-11950_6,4.57
:-11956_0,5.59
:-11956_1,9.64
:-11956_2,9.83
:-11956_3,5.56
:-11956_6,5.56
:-11956_4,5.19
:-11956_5,10.55
:-11992_0,7.97
:-11992_1,4.90
:-11992_6,4.90
:-11992_2,4.88
:-11992_3,9.54
:-11992_4,5.01
:-11992_5,9.03
:-12_0,5.13
:-12_1,16.35
:-12_4,16.41
:-12_7,4.66
:-12_11,16.66
:-12_8,9.19
:-12_9,24.06
:-1200_0,7.20
:-1200_2,5.09
:-1200_3,14.18
:-1200_4,5.09
:-1200_5,14.18
:-1200_7,4.74
:-12018_0,5.14
:-12018_1,10.50
:-12018_2,5.04
:-12018_3,9.50
:-12018_4,9.50
:-12018_5,5.20
:-12018_6,5.13
:-12034_0,16.29
:-12034_3,5.96
:-12034_13,16.27
:-12034_4,7.26
:-12034_6,22.75
:-12034_8,5.12
:-12034_9,16.21
:-12056_0,9.75
:-12056_1,4.80
:-12056_6,5.81
:-12056_2,6.30
:-12056_3,11.82
:-12056_4,5.36
:-12056_5,9.75
:-12058_0,4.88
:-12058_1,8.71
:-12058_2,5.78
:-12064_0,22.80
:-12064_3,9.93
:-12064_12,20.05
:-12064_13,17.96
:-12064_5,5.61
:-12064_6,25.15
:-12064_8,13.68
:-12064_9,24.27
:-12084_0,16.22
:-12084_3,4.40
:-12084_11,14.42
:-12084_4,7.96
:-12084_5,23.09
:-12084_7,5.35
:-12084_8,16.47
:-12094_0,5.65
:-12094_1,5.03
:-12094_2,8.31
:-12112_0,5.48
:-12112_1,6.54
:-12112_4,4.28
:-12112_7,13.85
:-12130_0,8.98
:-12130_1,4.91
:-12130_6,5.75
:-12130_2,5.08
:-12130_3,10.09
:-12130_4,5.44
:-12130_5,9.35
:-12154_0,7.59
:-12154_2,13.06
:-12154_4,7.23
:-12164_0,8.53
:-12164_1,4.64
:-12164_6,5.23
:-12164_2,5.60
:-12164_3,10.67
:-12164_4,5.08
:-12164_5,9.25
:-1218_0,9.55
:-1218_2,4.27
:-1218_8,8.77
:-1218_3,5.29
:-1218_4,13.58
:-1218_5,5.09
:-1218_6,9.53
:-12180_0,9.38
:-12180_1,5.24
:-12180_6,5.53
:-12180_2,5.11
:-12180_3,10.29
:-12180_4,5.42
:-12180_5,9.48
:-12184_0,6.47
:-12184_2,3.36
:-12184_8,8.39
:-12184_3,5.56
:-12184_4,13.35
:-12184_5,5.05
:-12184_6,8.69
:-12186_0,5.06
:-12186_1,7.96
:-12186_2,6.20
:-12186_3,6.18
:-12196_0,5.11
:-12196_1,10.50
:-12196_2,5.30
:-12196_3,9.61
:-12196_4,9.81
:-12196_5,5.55
:-12196_6,5.24
:-12200_0,9.59
:-12200_1,5.31
:-12200_6,5.31
:-12200_2,5.07
:-12200_3,10.38
:-12200_4,5.22
:-12200_5,9.53
:-12214_0,5.32
:-12214_1,9.26
:-12214_3,8.31
:-12214_5,3.02
:-12214_8,9.33
:-12214_6,6.20
:-12214_7,14.87
:-12222_0,6.23
:-12222_3,2.04
:-12222_8,11.76
:-12222_4,5.18
:-12222_5,6.23
:-12256_0,5.11
:-12256_1,9.50
:-12256_2,9.45
:-12256_3,4.99
:-12256_6,5.34
:-12256_4,5.39
:-12256_5,10.77
:-1228_0,5.56
:-1228_1,3.58
:-1228_4,5.15
:-1228_2,5.46
:-1228_3,6.14
:-12294_0,5.06
:-12294_1,7.83
:-12294_2,6.08
:-12294_4,4.20
:-12294_7,8.37
:-12294_5,4.91
:-12294_6,11.73
:-1230_0,4.82
:-1232_0,9.12
:-1232_1,4.96
:-1232_6,5.40
:-1232_2,5.57
:-1232_3,10.55
:-1232_4,5.04
:-1232_5,9.41
:-12332_0,5.44
:-12332_1,11.65
:-12332_2,6.37
:-12332_12,5.70
:-12332_3,7.33
:-12332_4,11.24
:-12332_5,11.51
:-12332_6,5.28
:-12332_7,11.44
:-12332_8,5.68
:-12332_13,6.51
:-12332_9,8.24
:-12332_10,11.78
:-12332_11,12.12
:-12364_0,8.46
:-12364_1,4.85
:-12364_6,4.95
:-12364_2,4.98
:-12364_3,9.93
:-12364_4,4.91
:-12364_5,9.17
:-12374_0,5.23
:-12374_1,9.20
:-12374_3,8.57
:-12374_5,4.31
:-12374_8,8.97
:-12374_6,5.03
:-12374_7,12.68
:-12380_0,4.88
:-12380_3,2.19
:-12380_8,11.51
:-12380_4,4.99
:-12380_5,5.76
:-12400_0,3.03
:-12400_1,0.16
:-12408_0,30.12
:-12408_1,41.17
:-12408_2,19.91
:-12408_16,16.74
:-12408_3,6.66
:-12408_4,40.17
:-12408_7,12.71
:-12408_17,25.74
:-12408_8,28.20
:-12408_9,41.12
:-12408_10,15.77
:-12408_18,13.92
:-12408_11,5.95
:-12408_12,38.83
:-12408_15,10.06
:-12408_19,28.30
:-12430_0,14.64
:-12430_2,5.62
:-12430_8,9.78
:-12430_3,4.97
:-12430_4,15.07
:-12430_5,5.34
:-12430_6,15.62
:-12458_0,5.22
:-12458_1,9.79
:-12458_2,10.39
:-12458_3,5.69
:-12458_6,5.13
:-12458_4,5.49
:-12458_5,11.23
:-1252_0,9.51
:-1252_1,5.24
:-1252_6,5.09
:-1252_2,5.07
:-1252_3,10.41
:-1252_4,5.02
:-1252_5,9.50
:-12526_0,8.68
:-12526_1,4.44
:-12526_6,5.48
:-12526_2,5.21
:-12526_3,10.28
:-12526_4,4.99
:-12526_5,9.23
:-12582_0,9.64
:-12582_3,4.54
:-12582_11,12.47
:-12582_4,5.14
:-12582_5,17.26
:-12582_7,5.50
:-12582_8,9.57
:-12594_0,9.44
:-12594_1,5.14
:-12594_6,5.15
:-12594_2,5.01
:-12594_3,10.31
:-12594_4,5.00
:-12594_5,9.48
:-12612_0,6.36
:-12612_1,5.04
:-12612_2,7.92
:-12612_3,6.25
:-12618_0,10.00
:-12618_1,5.68
